Region_code,Region_label,Urban_code,Urban_label,UrbanType,Area_code,Area_label,Population,Victimisations,Rate
3,Waikato,8,Te Awamutu Zone,Main,527935,Te Rahu,990,2,0.4
3,Waikato,6,Hamilton Zone,Main,528403,Te Rapa,360,36,19.1
3,Waikato,6,Hamilton Zone,Main,527917,Te Rapa North,150,1,1.3
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,533200,Te Rerenga,4370,7,0.3
4,BayofPlenty,9,Tauranga,Main,537302,Te Reti,1790,1,0.1
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,527921,Te Rore,450,0,
4,BayofPlenty,501,Rural Centre,Rural,542300,Te Teko,540,5,1.8
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,526602,Te Uku,2010,4,0.4
15,Southland,502,Rural (Incl.some Off Shore Islands),Rural,612730,Te Waewae,1330,2,0.3
9,Wellington,502,Rural (Incl.some Off Shore Islands),Rural,579502,Te Wharau,1830,2,0.2
3,Waikato,6,Hamilton Zone,Main,527820,Temple View,1330,1,0.1
13,Canterbury,22,Christchurch,Main,587822,Templeton,1940,3,0.3
13,Canterbury,286,Temuka,Minor,598600,Temuka,4290,14,0.6
8,Manawatu-Wanganui,16,Palmerston North,Main,562600,Terrace End,3150,6,0.4
14,Otago,502,Rural (Incl.some Off Shore Islands),Rural,607501,Teviot,1090,2,0.4
17,Nelson,21,Nelson,Main,583400,The Brook,1500,3,0.4
17,Nelson,21,Nelson,Main,582300,The Wood,3010,9,0.6
9,Wellington,20,Wellington Zone,Main,572900,Thorndon-Tinakori Road,4520,39,1.6
2,Auckland,4,Central Auckland Zone,Main,518500,Three Kings,6100,34,1.1
99,AreaOutside,502,Rural (Incl.some Off Shore Islands),Rural,614503,Three Kings Islands,0,0,
1,Northland,1,Whangarei,Main,502002,Three Mile Bush,1100,1,0.2
2,Auckland,507,Inlet-in TA but not in Urban Area,Rural,617704,Tidal-Eastern Bays,0,1,
2,Auckland,507,Inlet-in TA but not in Urban Area,Rural,617502,Tidal-Great Barrier Island,0,0,
2,Auckland,507,Inlet-in TA but not in Urban Area,Rural,617604,Tidal-Manukau Harbour,20,0,
2,Auckland,506,Inlet-not in TA,Rural,617606,Tidal-Manukau Harbour North,0,0,
2,Auckland,507,Inlet-in TA but not in Urban Area,Rural,617503,Tidal-Motutapu and Browns Islands,0,0,
2,Auckland,507,Inlet-in TA but not in Urban Area,Rural,617702,Tidal-Tamaki,0,0,
2,Auckland,507,Inlet-in TA but not in Urban Area,Rural,520804,Tidal-Waiheke Island,0,0,
2,Auckland,507,Inlet-in TA but not in Urban Area,Rural,617902,Tidal-Waitemata Harbour,0,0,
1,Northland,1,Whangarei,Main,502202,Tikipunga East,3330,4,0.2
1,Northland,1,Whangarei,Main,502201,Tikipunga West,3480,22,1.2
4,BayofPlenty,502,Rural (Incl.some Off Shore Islands),Rural,538820,Tikitere,2770,10,0.7
6,Hawke'sBay,502,Rural (Incl.some Off Shore Islands),Rural,549200,Tikokino,2840,4,0.3
